ticker,start_date,end_date,n_trading_days,annualized_volatility,avg_daily_volume,max_drawdown,var_95,downside_volatility,raw_risk_score,risk_score_1_10
SNDK,2025-03-10,2026-03-10,250,0.9823124878135474,8322640.4,-0.4750088301928227,-0.0723686337523687,0.7389461838929878,0.538761620242108,9.83
APP,2025-03-10,2026-03-10,250,0.8123476097242923,6584755.2,-0.499850032888765,-0.0750886627346798,0.6997147046282537,0.488641744567244,8.85
TTD,2025-03-10,2026-03-10,250,0.7584537048876389,13994900.8,-0.734625678164845,-0.0542162133143006,0.7772328693626742,0.5386207112202234,9.83
SMCI,2025-03-10,2026-03-10,250,0.7417898726985048,36853688.0,-0.5343435861623316,-0.0799158025511301,0.4928355170372502,0.44603134912938047,8.02
COIN,2025-03-10,2026-03-10,250,0.7403599091254939,11255118.8,-0.6638953815137105,-0.068090616021013,0.4448247309353597,0.4684236598454278,8.46
FISV,2025-03-10,2026-03-10,249,0.7274331168823622,7262926.1044176705,-0.7430024298011344,-0.0297676890662782,0.9154087076455876,0.5472454002436394,10.0
HOOD,2025-03-10,2026-03-10,250,0.7224800154279404,38074603.2,-0.5335169905898134,-0.0792640070817694,0.4595611757127055,0.4349102326755177,7.8
CVNA,2025-03-10,2026-03-10,250,0.7138341077153064,3899599.2,-0.3389904865781978,-0.0721843859962707,0.5689758981332812,0.3986811415220421,7.09
CNC,2025-03-10,2026-03-10,250,0.6814144800266382,9474542.0,-0.6078706062300907,-0.0451595724549891,0.7888846433270424,0.48375661711016715,8.76
MRNA,2025-03-10,2026-03-10,250,0.6656013783256928,10841144.4,-0.3613252875650996,-0.069928118226551,0.3999825614287319,0.3639947524727203,6.41
INTC,2025-03-10,2026-03-10,250,0.6603066359505291,102482961.2,-0.3005401578934393,-0.0579066043728328,0.4196117716401214,0.34775011785487525,6.1
ALB,2025-03-10,2026-03-10,250,0.6477708969240964,3642228.8,-0.3614290513781879,-0.070300708538255,0.4876749536180774,0.3718999441278471,6.57
MU,2025-03-10,2026-03-10,250,0.6386294339013681,26420474.0,-0.3715035469237761,-0.0497150721239486,0.4601593533986832,0.36343163812088997,6.4
WDC,2025-03-10,2026-03-10,250,0.6363501617411744,8461596.4,-0.3198218415215844,-0.0523001043233896,0.4795760173902811,0.353256944194068,6.2
FSLR,2025-03-10,2026-03-10,250,0.6343657124932175,3231873.2,-0.3351487784229063,-0.0560161962152286,0.4599534913915248,0.3542932022472647,6.22
AMD,2025-03-10,2026-03-10,250,0.6333212521423288,48168496.8,-0.3187875555475222,-0.0552371444121722,0.4198729738478861,0.3437216415652422,6.02
